name,postcode
Ryde Hunters Hill Community Transport Association Inc.,2111
Mount Claremont Primary School Parents & Citizens Association,6010
The Trustee For The Salvation Army (Qld) Social Work,2000
Mareeba Community Housing Company Ltd,4880
C3 Church Thirroul Incorporated,2515
The trustee for The National Baha'i Ancillary Fund,2101
Australian Centre For Grief And Bereavement,3170
The Catholic Parish Of Flinders Park/Hindmarsh In The Western Deanery,5007
Woodrising Neighbourhood Centre Incorporated,2284
Living Hope Baptist Church Incorporated,2518
Wilson Street Kindergarten Inc,3186
Bendigo Diocesan Trusts Corporation,3616
The Abbeyfield Society District Of Barossa Inc,5351
North Balwyn Interchurch Council,3104
Mount St. Joseph Girls' College- Altona West,3018
The Greek Orthodox Archdiocese Of Aust Parish Of Nth Balwyn & Districts,3104
St. Vincent's Hospital (Melbourne) Limited,3065
Peninsula Training & Employment Program Inc,3940
Ganbare Nipponnb,1655
Foodbank NSW & ACT Limited,2164
Ballina Christian Education Association Ltd,2478
The Trustee For The Walter Mangold Trust Fund,3000
Egyptian Coptic School,5033
Chinese Health Foundation Of Australia,3128
Hastings Macleay General Practice Network Ltd,
Crime Stoppers Tasmania,7000
Christian Assemblies Europe International,2450
Agape Christian Church International,2760
Kosher Australia Pty. Ltd.,3162
The Naveed Foundation,7275
Maclean Lower Clarence Presbyterian Parish,2463
Benny Hinn Ministries Australia Limited,4122
U3A Highvale Incorporated,3150
Wutha Yelma Pty Ltd,6430
Australian Gospel Music Festival Limited,4344
Kafarhilda Charity Association Ltd,2195
The Roman Catholic Bishop Of Geraldton St Johns P Arish Exmouth,6707
Bremer Bay Volunteer Marine Rescue Service Inc,6338
Seisia Fishing Association,4876
Leibler Yavneh College Library Fund,3162
Alpha Australia National Office,
Trustees Of The Passionist Fathers,2204
Trish Ms Company Limited,2097
The Gilgandra And District Cancer Fundraisers Inc,2827
Impotence Australia,2000
Greenfleet Australia,3000
City Of Liverpool Rsl Sub-Branch,2170
House Of God Incorporated ,4711
Bexley North Parents & Citizens Association,2207
Caloundra City School Limited,4551
Uca Presbytery Of North East Victoria,3632
Comic Relief Australia,
The Trustee For Cedric Arnold Seth Ferry Dcd,5000
Clic Church Inc,3806
Morling Foundation Limited,2113
Lcm Calvary Health Care Holdings Limited,2000
Socares Society Of Companion Animal Rescuers ,2325
Wa Network Of Alcohol & Other Drug Agencies,
Renmark Christian Life Centre,5340
Process Plus Limited,3070
Kilmore Rsl Sub-Branch,3764
Sukhavati Buddhist Monastic Institute,2164
Dandenong Community Youth Movement Incorporated,3175
Australian Environment Foundation Ltd,5690
Beyond Empathy Limited,2350
Blackalls Public School P&C Association,2283
St Bernadette's Catholic Church Dundas Valley,2117
Grains & Legumes Nutrition Council Limited,2113
Baptist Church Haberfield,2045
Adssi Limited,2259
Canberra Glassworks Limited,2600
Uon Services Limited,2308
Lutheran Church Of Australia Queensland District,4214
Cure Brain Cancer Foundation,2010
Lutheran Church of Australia SA & NT District Holdings Limited,5006
Waso Holdings Ltd,6832
"CHURCH 4 LIFE LTD
",2290
Inverell Refuge Centre Inc,2360
Impact Leadership Ltd,2153
The Thin Green Line Foundation Ltd,3000
Qcwa Branch Moonie,4000
Morley High School Parents And Citizens Association Inc,6062
Springdale Heights Public School Parent And Citizen Association,2641
Noongar Media Enterprises Pty. Ltd.,6107
The Shuari Charitable Foundation,3004
Castle Hill and District RSL sub-Branch (RSL NSW),1765
Centre of Excellence for Aboriginal Health in East Gippsland Limited,3875
Community Transitions,5000
The Centre For Continuing Education Inc.,3677
Bonshaw P&C Assoc,2361
Binnacle Group Training Ltd,4005
Ethan Affordable Housing Limited,3127
Melbourne St Paul - Perpetual,3000
Cape Hawke Community Hospital And Health Association,
Kardinia Health Ltd,3216
Church Of Christ Forster Tuncurry,2428
Community Partnerships @ Work Inc,5165
Illawarra Diggers Aged & Community Care Limited,2518
Vinegrowers Ltd,
iCharity Incorporated,2761
Avner Nahmani Pancreatic Cancer Foundation Limited,2107
Anglican Parish Of Pascoe Vale/Oak Park,3044
Deakin Residential Services Pty Ltd,3220
The Trustee For Capt F S Horn Estate,2001
Elmore Memorial Hall Committee Of Management Inc ,3558
St Dominic Savio Early Learning Centre Pty Ltd,3168
Community Legal Centres NSW Incorporated,2010
Life Sciences Queensland Limited,4066
Next Steps Kindy Ltd,4053
St Marys Parish Newborough,3825
Careship Coorong Ltd,5265
The Butterfly Movement Ltd,5071
Concerned Australian Family Action Group Inc,2196
WORD INTERNATIONAL MINISTRIES - AUSTRALIA,6066
Frasil Foundation,2000
Queensland Childrens Activities Network (QCAN) Inc,4306
Telethon Juvenile Diabetes Family Centre Limited,6017
Catherine Sullivan Centre,2135
The Broken Bay Institute,2120
Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For St Francis Xavier Primary Lake Cargelligo,2672
International Specialised Skills Institute,3053
Long Plains Soldiers Memorial Hall Incorporated ,5501
Inverell Rescue Squad Incorporated ,2360
Centre for Organic Research & Education Incorporated,2060
Grand Orange Lodge Of Australia ,2284
St John's Lutheran Church Ballarat,3350
Future-Proofing Australasia's Unique Native Animals Research Alliance Limited,2308
Cootamundra Meals On Wheels Services Inc,2590
Laidley Kindergarten Assoc Inc,4341
Toowoomba Community Care Transport Inc.,4350
Salisbury Baptist Church Inc,
Innisfail East State School P&C Assn,4860
Berri Barmera Local Action Planning Committee Inc,5343
St Brigid's Catholic Primary School,7325
Wentworth Falls Public School P&C Association,2782
"Harvest Community Church, Perth Inc",6018
National Parks Australia Council Inc,3053
Acacia Ridge Community Support Inc,4110
Albanian Moslem Society Shepparton Inc,
Randwick Public School P&C Assoc,2031
Julalikari Buramana Aboriginal Corporation,860
Forster Foundation For Drug Rehabilitation,828
St James Mart Anglicare South Broken Hill,2880
The Corporation Of The Synod Of The Diocese Of Brisbane,4510
St George Dirranbandi Presbyterian Church,4487
The Roman Catholic Church As Trustees For St Joseph's School Manildra,2865
Cobram Yarrawonga Group Of Melbourne Legacy Inc,2647
Portarlington St Leonards Rsl Sub Branch,3223
Mirani Shire Rural Fire Brigade Group,4756
Peter Pan Literacy Club (Inc),4650
Faithland Inc,
Macquarie Christian Life Centre Inc,2285
Eastern Domestic Violence Service Inc,
Herbert River Pastoral & Agricultural Association Inc.,4850
Emmatt Ministries,4165
Bayside Church Incorporated,2282
The Clarence Environment Centre Inc,2460
Caringbush Common Equity Rental Housing Co-Operative Ltd,3085
The Tyalgum Public Recreation Reserve Trust,2484
Centaur Primary School Parents And Citizens Association,2486
Candelo P&C Association,2550
The Con Kroker Memorial Lecture Trust,3400
St Patricks Catholic Primary School Walcha,2354
Umoona Community,5723
Mt Pleasant Primary School P&C Assn,6153
Regional Heritage Transport Assoc Junee Incorporated,2663
The Trustee For Rotary Club Of Keilor East Charitable Trust,3042
The Trustee For Townsville Community Legal Service Trust Fund,4810
Energizer Foundation,7018
Churches of Christ Care,4069
Volunteer Marine Rescue North Stradbroke Inc,4183
Elkington E J Memorial Fund,3000
The Trustee For Friends Of The Mater Foundation,2059
The Trustee For The Jodi Lee Foundation,5067
Dandenong Ranges Music Council,3158
Seaford Spiritualist Church Inc,3918
Gundaroo Common Trust,2620
Ulladulla Congregation of Jehovah's Witnesses,2538
Church Of Christ Avenell Heights,4670
Caringbah North Activity Centre,
St Lukes Lutheran Church Meningie,5259
Kids R Us Victoria,
Northern Tablelands & New England S/B National Servicemens Assoc Of Aust Inc Ns W Branch,2360
Baptist Church Cronulla,2230
The Christian Brothers Incorporated,5000
Dingee Pre-School Inc,3571
Newton Primary School Parents & Citizens Association Incorporated,6163
Boronia Park Public School Parents And Citizens Association Incorporated,2110
Buddhist Sri Lankan Association Of Victoria Inc,3173
The Trustee For The Albert Coates Memorial Trust,3350
The Gap on Graham Inc.,3337
Women's Centre For Health Matters,2607
Emerald Ladies Welfare Assoc.,4720
Scripture Union Of The Northern Territory,810
Torrens Valley Association For Christian Education,5090
Greek Orthodox Archdiocese Of Aust Consolidated Trust Parish Of St Sophi,2010
GV Health Foundation,3630
St Kilda Congregation of Jehovah's Witnesses,3182
South Australian Anglican School's Commission,5006
Partially Blinded Soldiers Association,2154
The Almond Grove & Mitchell Street Hall Trust,5159
Blackall Kindergarten Association Inc,4472
All Nations Mission Incorporated,2131
The Trustee For All Saints College Foundation Bldg Fund,2795
Carlingford West Kindergarten,2118
Vcfs 22Q11 Foundation Inc,2118
The Friends Of The Waite Arboretum Inc ,5064
St Josephs Catholic Primary School,7467
Angkor Wat Khmer Buddhist Society Of Western Australia Inc,6064
Glenmorgan Restoration Committee Inc.,4423
Sevenhill College,5453
Melville Congregation of Jehovah's Witnesses,6163
M E Chronic Fatigue Syndrome Society Of Victoria Inc,3181
Baptist Church Latrobe,7307
The Bushfire CRC Charitable Trust,3000
Harvestlands Inc,2660
Principal Catholic Regional College Sydenham,3037
Mawarra Centre Inc,3820
Watsonia Neighbourhood House Inc,3087
The Trustee For The Assured Foundation - Public Benevolent Trust,5086
"Mersey Leven Catholic Parish
",7310
Moorabbin Hospital Ladies Auxiliary,3168
The Trustee For Gambier Education Trust,5290
Elizabeth Spiritualist Church Inc,5112
Copper City Men's Shed - Cobar,2835
Pakenham & District Hospital Incorporated,3810
Prouille Catholic Primary School Wahroonga,2076
Moura & Districts Health Care Association Incorporated,4718
Ozindcare Incorporated,2145
Anglican Church Of Australia Provisional Parish Of Helensburgh & Stanwell Park,2508
Sutherland Parish Presbyterian Church Benevolent Fund,2232
Beaumont Road Public School P&C Assn Inc,2071
Wynnum Gospel Hall Assemblies,4178
The trustee for the Ben Lipski Foundation,2074
Cudmore F A Estate,3000
48 Hour Charity Relay Run In Queensland Public Ancillary Fund,4165
Clovelly Child Care Centre Inc,2031
Spinifex Arts Project Aboriginal Corporation,5019
Gospel To The Nations Inc,3802
St George's Guild In Sydney Incorporated,2112
The Trustee For Ebenezer Ross Trust,2001
Chameleon Regional Community Housing Accomodation & Welfare Association Inc.,
Sussex Inlet Christian Life Centre,2540
Dragons Abreast Peninsula Dragonflys Inc.,3197
Diocese Of Wagga Wagga As Trustee For St Joseph's School Leeton,2650
The Trustee For Dalrymple Community Cultural Centre Trust,4820
Mylor Oval Management Inc,5153
Reynella Neighbourhood Centre Inc,5161
Gippsland Centre Against Sexual Assault Incorporation,3840
The Little Kings Movement For The Handicapped,4102
Dampier Parents & Citizens Association,6713
Lillian Howell Project Incorporated,2043
Kardinia Heights Community Centre Education & Training Facilities Inc,3215
Macrossan & Amiet Charitable Foundation,4740
Lutheran School Maitland,5573
Aboriginal Child Family & Community Care State Secretariat (NSW) Inc,2204
Museum Street Child Care Inc,6000
Brain Injury Association Of NSW Inc,2121
Plas Prai Foundation Australia,5069
Iheart Melbourne Church Inc,3150
Glenrac Incorporated,
Polish Link With Seniors - Clovelly Park Incorporated,5039
Darlington Arts Festival Association Inc ,6070
Community Cancer Link Inc.,2519
Qcwa Branch Toowoomba,4352
Bethesda Hospital Inc,6010
Sydney Community Church,2759
Sheridan College Inc.,6030
Mental Health Community Coalition Of The Act,2601
Harvest Crusade International,2103
Egypt Equine Aid Inc,6110
The Trustee For Kate Mcpherson Foundation,7021
Apostolic Pentecostal Church,3136
Mallacoota District Senior Citizens Club Inc,3892
Qcwa Branch Coolangatta,4209
Wyalkatchem District High School Parents And Citizens Assoc Inc,6485
Skill Teaching And Resources Inc,5083
Riverland Common Equity Rental Housingco Operative Ltd,
Lifescope Inc,3199
Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For St Gregory's Primary Queanbeyan,2620
Nature Conservation Trust Of New South Wales,2480
The Roman Catholic Bishop Of Bunbury Kojonup Parish,6395
Variety The Children's Charity Tent 78 Tasmania Inc,7170
Berkeley Development Association Inc,2506
Sydney Covenant Uniting Church Incorportated,2074
Wilberforce Parish - Acpt (1466),2000
The Trustee For The Bernard & Mary Euhus Charitable Trust,3765
James Crofts Hope Foundation Inc,6009
Ingleburn Public School P&C Assoc,2565
Qcwa Branch Beaudesert,4209
Regents Park Community Church,2143
The Trustee For The Joanne Tubb Foundation,3051
Engadine High School P&C Association,2233
Mandurah Community Care Inc,6168
Restoring Hope Inc,3108
Australian Academy Of The Humanities,200
Trustees Of The Roman Catholic Church Diocese Of Lismore As Trustee For The Clergy Fund,2480
Dalby Day Nursery & Pre School Assn Inc,4405
Atitjere Homelands Store Aboriginal Corporation,872
Padstow Congregational Church,2211
Chelsea Baptist Church,3196
Liverpool Baptist Church,2170
Restoration Fellowships International (NSW) Incorporated,2576
Broadsound Coastal Community Development Association Inc,4739
Estate Ministry Trust Fund,3053
Cross Lutheran Church Mt Sylvia,4343
Riddoch Art Gallery Inc,5290
Perth Assembly Hall of Jehovah's Witnesses ,6107
Qld Naturalists Club Inc,4101
St Martins Lutheran Church Mount Gambier Inc,5290
Paynesville Neighbourhood Centre Inc,3880
Moggill State School P&C Assn,4070
Conservation United Limited,4067
Southern Yorke Peninsula Landcare Group Inc,5575
Kingsgrove RSL sub-Branch (RSL NSW),2208
Flinders Island Aboriginal Assoc Inc,7255
The Trustee For The Joseph Hill Trust Fund,3000
Catholic Croatian Community Of St Nikola Tavelic St Johns Park,2176
Uca - Crookwell Uniting Church,2583
Carnarvon Christian Parent Controlled School Assoc Inc,6701
Bunyip And District Newsletter And Bunyip History Committee Inc,3815
Bolivia Progress Association Incorporated,2372
The Parramatta College Incorporated,2151
Norwood Community Pre School Inc,2077
Elwood St. Kilda Neighbourhood Learning Centre.,3184
Riding For The Disabled Association Sa Inc,5069
Catholic Education Office,828
THE WILLIAM AND GEORGENA BRADSHAW CHARITABLE TRUST,3000
The Queensland Country Women's Association,4000
The Trustee for the Grace College Foundation,4067
THE TRUSTEE FOR SYMON JOHN HENRY JAMES ESTATE,3000
Kuuku Ya'U Aboriginal Corporation Rntbc,4892
St Rose Catholic Primary School Collaroy,2097
St Coleman Catholic Church - Orbost,3909
THE TRUSTEE FOR The Benevolent Relief Fund,2576
St Peters Parents & Friends Assoc,4123
Living Valley Springs Benevolent Trust,4571
Leukaemia Youth Foundation,2170
Range Road Uniting Church,5203
Saint Nicholas Romanian Orthodox Parish Of Adelaide Sa Incorporated,5082
The Trustee For Felicity's Wish Foundation,4350
Jeremiah Butterworth Estate ,
Perth Christian Life Centre Inc,6155
St Philomenas Catholic School Moree P & F,2400
Anglican Parish Of Roleystone,6111
Trinity Lutheran Church Narrogin,6312
Presbyterian Church Epping,2121
Centenary Institute Of Cancer Medicine & Cell Biology,2050
God Is With Us Christian Church Inc,3019
Eden Valley Institute Inc,5235
The Trustee For The Christian Reformed Churches Of Australia World Relief Fund,2767
Deloraine Rsla Sub Branch,7304
Bellinger Landcare Inc,2454
The Trustee For Oldham H M Perpetual Trust,3000
Maryborough North Congregation of Jehovah's Witnesses,4650
A55 Inner Wheel District Committee Inc,2480
The Victorian Association For The Teaching Of English Inc,3066
Projects for poverty eradication and community empowerment ProPeace,5087
Good Friends Incorporated,2122
Uca - Gladesville Boronia Park Church Council,2111
The Invisible Inc.,2016
The Trustee For Master Builders Association Of Victoria Foundation Trust,3002
St Marks Lutheran Church Melton,3337
Oakhill College Parents & Friends Association,2154
Australian Institute Of Parapsychological Research Inc,2111
Food Relief NQ Incorporated,4818
Child Migrants Trust Inc,3122
Han Sarang Presbyterian Church Incorporated,2141
The Trustee For Est Mary Kathleen Napier Milne Roy Milne Benevolent Fund,5000
Mowbray Heights P & C Subcommittee,7248
Cummins Catholic Parish,5631
Mount Kanwary P&C Associatgion,2324
Cranbourne Italian Senior Citizens Club Inc,3977
ACPT - Sutherland Trust,2000
Rotary Club Of Dubbo South Charitable Fund,2830
The Trustee For May Gibbs Children's Literature Trust,5000
Hinterland Community Care Inc,4745
Macedonian-Australian Welfare Association NSW,2216
Apsley Uniting Church,3319
PHILLIP ISLAND AND DISTRICT HISTORICAL SOCIETY INCORPORATED,3922
Calamvale Congregation of Jehovah's Witnesses,4110
Brisbane Writers Festival Assn Inc,4101
Sacred Heart Community,2220
Qcwa Branch Duaringa,4714
Presbyterian & Methodist Schools Association,4066
Greek Orthodox Archdiocese Of Aust 2Nd Archdiocesan District Central Youth Sub Entity,3205
Churchill Christian Fellowship Inc ,3842
Werrigal Inc Pty Ltd,2073
The Greek Orthodox Parish Of South East Sydney Ltd. St Spyridon Golf Club,
New Life Evangelical Church Inc,3130
Kirwan Uniting Church Child Care Centre,4817
Western Riverina Community College Incorporated,2680
The Dish of St John's,2076
Bedfordale Volunteer Bush Fire Brigade,6112
Womens Activities & Self Help House Inc,2770
Chevra Hatzolah Sydney Inc,2030
Catholic Earthcare Australia Trust,2060
Islamic Society Of South Aust Inc,5043
Ngaanyatjarra Services Aboriginal Corporation,870
Noosa Emergency Service Financial Support Group Inc,4565
The Trustee For Frederika Meyer Estate,3000
Maitland Clergy Central Fund,2302
Dorcas Standing Committee Of The Presbyterian Womens Association Of Australia In New South Wales,2010
Lipman Harp Scholarship,4101
St John Evangelist Anglican Church Of Australia Campsie,
Avenue Neighbourhood House At Eley Inc.,3130
Liberty Christian Ministries Inc,2041
Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For The Catholic Parish Of Bombala,2632
St Edward The Confessor King Anglican Church Blackburn South,3130
Maltese Rsl Sub Branch,5087
UCA Rosana Uniting Church Hope Springs,3081
Hunt Community Child Care Centre Inc,3186
Mackay West Primary State School P&C,
Sacred Heart School Auxiliary,2650
The Corporation Of The Synod Of The Diocese Of Brisbane,4213
Baptist Church Lithgow,2790
Berrigan Children's Centre Association Incorporated,2712
The Trustee For Charlie Perkins Scholarship Trust,2015
The Trustee For Estate Of The Late Joseph Thomas Cliffe,4006
"The Synod of the Diocese of the NT Inc As the operator of a PBI
",821
Spielwelt German Parents Association Incorporated,2602
Tangglun Piltengi Yunti Aboriginal Corporation,5253
The Trustee For A S White Childrens Home Fund,2153
Rowville Preschool Inc,3178
Carnarvon Medical Service Aboriginal Corporation,6701
South West Baptist Church,5049
Currumbin Community Special School P&C Association,4223
Community Accommodation & Respite Agency Inc,5011
Port Pirie New Life Christian Community Centre Incorporated,5540
Bremer High P&C Association,4305
Futures Common Equity Rental Housing Co-Operative Ltd,
Anglican Parish Of Manjimup,6258
Ironbark Development Services Incorporated,
The Trustee For The Francis John Longhurst Charitable Trust,2001
Manly Congregation of Jehovah's Witnesses,4178
St Peters Collegiate Girls School Inc,5066
The Trustee For The Ethel Barringer Trust,5000
St Andrews Lutheran Church Glynde Inc,5070
Mt Wilson And Mt Irvine Historical Society Incorporated,2780
Abundant Grace Mandarin Assembly Incorporated,2077
Catholic Parish Of St Columba Leichhardt North,2040
Brain Injury (Vic) Foundation Inc.,3071
Arden Anglican School,2119
Helensburgh & District Historical Society,2508
Kensington Gardens Uniting Church,5068
St Pius X School Parents & Friends Association,
St Sebastian's Parents & Friends Association,4104
Adaminaby Snowy Scheme Collection Inc,2629
Baptist Church Caboolture District,4510
Vietnam Veterans Mine Clearing Team-Cambodia Inc,4122
Upper Brookfield Primary P&C Assn,4069
Discover Church Inc.,3193
Teen Challenge Foundation Inc ,6024
Ku-Ring-Gai Neighbourhood Centre Inc,2075
Praxis Victoria Education Partnership Inc,3032
Victoria State Emergency Service Melton Unit,3337
The Trustee For Keith Alfred Bennett Estate,3000
Mangunampi Mangarri Incorporated,6765
Catholic Parish Of Our Lady Star Of The Sea Miranda,2228
"UCA - CROSSROADS CHRISTIAN FELLOWSHIP FOR DISABLED - NEWCASTLE AS OPERATOR OF A PBI
",2304
The Spiritual Assembly Of The Baha'Is Of Kingborough,2101
The Harrisville Uniting Church,4307
Patricks Road State School P & C Association,4055
Lifeinfo Media,3856
Uca - Youth Council,6000
Culgoa Kindergarten,3530
Jaffna Central College Old Boys Association Sydney,2145
Forest Hill Bushfire Brigade,6324
Bikers Against Child Abuse Northern Rivers Chapter Inc,
Arncliffe Community Life Centre,2205
Applied Neuroscience Society Of Australasia Incorporated,2538
Aboriginal Community Elders Services Incorporated,3057
Boulia Primary P&C Association,4829
Balwyn Congregation of Jehovah's Witnesses,3106
Family Learning Association Inc,6237
THE TRUSTEE FOR THE ROTARY CLUB OF KENWICK CHARITABLE TRUST,6153
Redeemer Community Church Incorporated,6101
Uca - St James Wattle Park,3128
Ipswich West Congregation of Jehovah's Witnesses,4305
Lutheran Church Of Australia Queensland District,4605
Oakey State School Parents & Citizens Association,4401
Raceview Congregational Fellowship Incorporated,4305
Deep Creek Pre School Association Inc,3109
Rockhampton Special P&C Association,4701
Wonnai Preschool Inc,3910
Uca Ardlethan Barellan Parish,2665
Trustee for the St Vincent's Private Hospital Sydney Trust,2022
Lakemba Parish - Acpt (1239),2000
The Mirabel Foundation Inc,3161
Water Street Occasional Care Centre,4870
Wyong Rsl Sub Branch,2259
Wongarbon Public School P&C Assoc,
Swan Valley Anglican Community School,6069
Nazareth House Tamworth Auxiliary,2340
Eagle Rise Christian Centre Incorporated,5109
Greek Orthodox Christian Society Incorporated,
Lalor Park And Kings Langley Parish - Acpt (1240),2000
Congregational Christian Church Of Samoa Camden Parish NSW Australia Inc,2558
The Trustee For The Steinfort Charitable Foundation,3150
Barossa Village Inc,5355
Lindsay & Nan Wilkinson Trust,2001
Shed The Light Incorporated,4574
Seconds To Give Inc.,3161
Cape York Land Council Aboriginal Corporation,4870
Qvwa Branch Goovigen,4714
Neul Sa Rang Presbyterian Church Inc,2147
O'Loughlin Catholic College,812
Aboriginal Evangelical Church Melbourne,3152
The Trustee For Orange Education Trust,2800
Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For St Joseph's Primary Goulburn North,2580
Riding For The Disabled (NSW) Tall Timbers Centre,2765
Carrackalinga Board Of Management,5211
The Australian Province Of The Society Of The Sacred Mission Inc,5000
The Roman Catholic Archbishop Of Perth Leederville Parish,6007
Springwood Road Primary P&C Association,4127
Radha Soami Satsang Beas Australia,2178
"GOSPEL LIGHTHOUSE CHRISTIAN CENTRE INC AS THE OPERATOR OF A PBI
",4127
Parents Victoria Inc,3758
Yarrunga Early Learning Centre Inc,2640
The Trustee For Navy Clearance Diver Trust,6159
Myanmar Youth Development Institute,3085
Southern Peninsula Rescue Squad Incorporated,3942
Isabelle Heim Fund,2065
The Gianna Centre Inc,3550
SDN Children's Services,2007
Challenge Foundation Of New South Wales Limited,2640
Orange Pre-School Kindergarten Ltd,2800
The Bessie Smyth Foundation Ltd,2138
Harbison Memorial Retirement Village,2576
Skin & Cancer Foundation Australia ,2145
Tulgeen Group,2550
Barriekneal Housing & Community Ltd,2834
Nurses Scholarship Foundation Ltd,2121
The Abraham Kuyper Christian Education Association Ltd,2754
Yandruwandha Yawarrawarrka Traditional Land Owners (Aboriginal Corporation),5000
The Saint Jude Foundation,2028
Co As It Italian Association Of Assistance,2040
Northcross Limited,2112
The Trustee For The Surf Life Saving Rescue Fund Trust,4006
Interaction Disability Services Ltd,2154
Sherbrooke Multiple Birth Associationinc,3783
The Corporation Of The Little Company Of Mary - Australia,2220
Huntingtower School Association,3149
The Australian Institute Of Archaeology,3086
Ranzcog Research Foundation,3002
Granite Belt Ministries Inc,4380
Victorian Council Of Social Service,3000
Penington Institute,3053
T.H.E. Foundation,4370
Cbm Australia,3128
Christian College Geelong Ltd,3216
Liberty World Missions Limited,6018
Burnie Agricultural And Pastoral Society,7320
Building Group Apprenticeship Scheme Ltd.,
Mary River Catchment Coordination Assoc Inc ,4570
Crosshands Australia Ltd,4350
Sonlife Ministries Inc,6154
The Trustee For Women For Women In Africa Foundation,3228
Argyle Community Housing Association Inc,2576
Mundulla Uniting Church,5270
The Brian Stacey Memorial Trust,3121
The Trustee For Redcliffe Rsl Charitable Trust,4020
The Pikininis Project Australia Incorporated,2575
Arkhouse Church Inc,3162
Catholic Parish Of The Holy Spirit Carnes Hill,2171
Peel High School P&C Assn,
Sydney Seoul Presbyterian Church Incorporated,2071
The Trustee For Copp Road Gympie Gospel Trust,4570
The Trustee For Priestly Fraternity Of St Peter (Fssp) (Sydney) Trust,2049
Connectgroups Support Groups Association Wa Inc,6154
The Trustee For Trust Of M A Ingram,
Mary Mackillop College,4012
Barking Gecko Theatre Company Ltd.,6008
Sutherland Shire Community Transport Inc,2233
Muslim Aid Australia Inc,2200
LinC Church Services Network National Inc.,3072
UCA - Brunswick Valley Uniting Church,
Newcastle Christadelphian Ecclesia Incorporated,2302
Old Colonists Associationof Ballaratinc,3350
Manly Warringah Division Of General Practice Ltd,2103
Northern Rivers General Practice Network (NSW) Limited,2480
Volunteering Australia Incorporated,2601
Glenarbony Beebo Rual Fire Brigade,4031
Transparency International Australia,3132
Returned Services League Wallaroo Sub Branch Inc,5556
Life Community Care Incorporated,5000
"St. Paul's Primary School, West Sunshine",3020
Tingalpa State School P&C Assn,4173
Balwyn Wesleyan Methodist Church Mission Fund Account,
Guillain Barre Syndrome Support Group Of Tasmania,7310
Humula Public School Parents And Citizens Association ,2652
Westmead Institute Of Reproductive Medicine Limited,2119
St Andrews Presbyterian Church Grafton,2460
Advocacy And Rights Centre Limited,3550
Cairns Lutheran Parish,
St Catherine's Aged Care Services,2122
Australian Christian Churches,2153
Uca Lara Uniting Church,
Me/Cfs Australia Ltd,3181
Communities That Care Limited,3052
Toowong Baptist Church,4066
School Of Philosophy Nominees Pty Ltd,6100
Care Connect Limited,3067
Catholic Parish Of Our Lady Of The Rosary Fairfield,2165
Australian Federation Of Graduate Women NSW Inc,2000
Samaritans Enhanced Living Options Hunter Mid North Coast Pty Limited,2304
Jobmatch Association Inc,4570
St Agnes Primary School Highett,3190
Seventh-Day Adventist Church (South Queensland Conference) Ltd,2076
Darwin Dasom Korean Church,810
The George Foundation For Global Health Ltd,2000
The trustee for the St Aidan's Foundation Trust,4075
Victory Church Ltd,4300
Brisbane Christian College,4107
MSBase Foundation Limited,3050
"DAMPIER SEAFARERS CENTRE INCORPORATED AS THE OPERATOR OF A PBI
",6713
McGrath Foundation Ltd,2065
Determinly Independent Senior Citizens Organisation,
South Australian Grain Industry Trust Fund,5067
Vedic Festival Incorporated,2162
Ingham Palliative Carers Committee Inc.,4850
Academy Of Life And Family Studies Inc,2785
Sophie's Quest,2170
Greening Australia (NT) Ltd,828
Sydney Urology Research Foundation Ltd,2220
Operation: Operating Room Limited,2360
Balunu Foundation Limited,810
The Trustee For The Trevor Cohen Family Charitable Trust,3142
Presbyterian Church Of Australia In The State Of New South Wales Parish O,2330
Russian Catholic Church In Australia Inc,3183
Private Cancer Physicians Of Australia Limited,4059
Waanyi Native Title Aboriginal Corporation RNTBC,4226
St Andrews Presbyterian Church Roma,4455
Birchgrove Public School P & C Association ,2041
Pascas Foundation (aust) Limited,4211
Guardian Disability Services Limited,2134
Sunrise Children's Association Incorporated,3183
Reflection Outreach Inc.,3095
Scots Kirk Hamilton,2303
Dandenong North Pre School Inc,3175
Senior Citizens Centre Of Meals On Wheels Albany Inc,6330
Christian Religious Education Program - Sunshine Coast,4551
Illawarra Schools Workplace Learning Program Incorporated,2500
The Trustee For The Lady Bowen Trust,4001
Toora Uniting Church Congregation,3962
Doonside Mount Druitt Pregnancy Help Incorporated,2170
MTC Recruitment Limited,2022
Centre For Sufism And Cultural Advancement,3146
Candance Australia,5095
Alliance Francaise De Sydney,2000
Foundation for Australian Studies in China,2000
Redemptorists,2217
Fiona Lodge-Ronald Mcdonald Beach House Incorporated,2537
Northern Melbourne Medicare Local Ltd,3079
Catholic Parish Of St Helen's Gresford,2420
Future Foundations Limited,3068
Affordable Community Housing Alliance Tasmania Limited,7008
Al Ansar Islamic Association Incorporated,2141
Gilgandra Primary School P&C,2827
Couee Community LTD,4213
Australian Wildlife Arts Foundation Limited,3500
Learning and Life Centre (Huddle) Ltd,3051
Community Youth Education Options Ltd,4508
Camp Creative Inc,2450
